"ID","Data.Source","Sequence.Length","Sequence.Quality","Collection.Date","Country","Location","GenBank","GISAID","Genome.Warehouse","NMDC","CNGBdb"
"EPI_ISL_415649","GISAID",29882,"High","2020/3/5","France","France / Hauts-de-France / Cr?py-en -Valois",0,1,0,0,0
"EPI_ISL_415650","GISAID",29882,"High","2020/3/2","France","France / IDF",0,1,0,0,0
"EPI_ISL_415651","GISAID",29882,"High","2020/3/5","France","France / Bourgogne-France-Comt? / Montreux-Chateau",0,1,0,0,0
"EPI_ISL_415652","GISAID",29882,"High","2020/3/5","France","France / Bourgogne-France-Comt? / Thise",0,1,0,0,0
"EPI_ISL_415654","GISAID",29882,"High","2020/3/9","France","France / Hauts de France / Compi?gne",0,1,0,0,0
"MT192759","GenBank",29862,"High","2020/1/25","Taiwan","China / Taiwan",1,1,0,0,0
"MT188339","GenBank",29783,"High","2020/3/9","United States","United States / MN",1,1,0,0,0
"MT188340","GenBank",29845,"High","2020/3/7","United States","United States / MN",1,1,0,0,0
"MT188341","GenBank",29835,"High","2020/3/5","United States","United States / MN",1,1,0,0,0
"MT184908","GenBank",29880,"High","2020/2/21","United States","United States",1,1,0,0,0
"MT184909","GenBank",29882,"High","2020/2/21","United States","United States",1,1,0,0,0
"MT184910","GenBank",29882,"High","2020/2/18","United States","United States",1,1,0,0,0
"MT184911","GenBank",29882,"High","2020/2/17","United States","United States",1,1,0,0,0
"MT184912","GenBank",29882,"High","2020/2/17","United States","United States",1,1,0,0,0
"MT184913","GenBank",29882,"High","2020/2/24","United States","United States",1,1,0,0,0
"LC529905","GenBank",29903,"High","Jan-20","Japan","Japan",1,1,0,0,0
"MT184907","GenBank",29882,"High","2020/2/18","United States","United States",1,1,0,0,0
"MT121215","GenBank",29945,"High","2020/2/2","China","China / Shanghai",1,1,0,0,0
"MT159718","GenBank",29882,"High","2020/2/18","United States","United States",1,1,0,0,0
"MT159719","GenBank",29882,"High","2020/2/18","United States","United States",1,1,0,0,0
"MT159720","GenBank",29882,"High","2020/2/21","United States","United States",1,1,0,0,0
"MT159721","GenBank",29882,"High","2020/2/21","United States","United States",1,1,0,0,0
"MT159722","GenBank",29882,"High","2020/2/21","United States","United States",1,1,0,0,0
"MT159705","GenBank",29882,"High","2020/2/17","United States","United States",1,1,0,0,0
"MT159706","GenBank",29882,"High","2020/2/17","United States","United States",1,1,0,0,0
"MT159710","GenBank",29882,"High","2020/2/17","United States","United States",1,1,0,0,0
"MT159707","GenBank",29882,"High","2020/2/17","United States","United States",1,1,0,0,0
"MT159708","GenBank",29882,"High","2020/2/17","United States","United States",1,1,0,0,0
"MT159709","GenBank",29882,"High","2020/2/20","United States","United States",1,1,0,0,0
"MT159711","GenBank",29882,"High","2020/2/20","United States","United States",1,1,0,0,0
"MT159712","GenBank",29882,"High","2020/2/25","United States","United States",1,1,0,0,0
"MT159713","GenBank",29882,"High","2020/2/18","United States","United States",1,1,0,0,0
"MT159714","GenBank",29882,"High","2020/2/18","United States","United States",1,1,0,0,0
"MT159715","GenBank",29882,"High","2020/2/24","United States","United States",1,1,0,0,0
"MT159716","GenBank",29867,"High","2020/2/24","United States","United States",1,1,0,0,0
"MT159717","GenBank",29882,"High","2020/2/17","United States","United States",1,1,0,0,0
"MT050493","GenBank",29851,"High","2020/1/31","India","India / Kerala State",1,1,0,0,0
"MT012098","GenBank",29854,"High","2020/1/27","India","India / Kerala State",1,1,0,0,0
"MT163718","GenBank",29903,"High","2020/2/29","United States","United States / Washington",1,1,0,0,0
"MT163719","GenBank",29903,"High","2020/3/1","United States","United States  / Washington",1,1,0,0,0
"MT163720","GenBank",29732,"High","2020/3/1","United States","United States / Washington",1,1,0,0,0
"MT135041","GenBank",29903,"High","2020/1/26","China","China / Beijing",1,1,0,0,0
"MT135042","GenBank",29903,"High","2020/1/28","China","China / Beijing",1,1,0,0,0
"MT135043","GenBank",29903,"High","2020/1/28","China","China / Beijing",1,1,0,0,0
"MT135044","GenBank",29903,"High","2020/1/28","China","China / Beijing",1,1,0,0,0
"MT163717","GenBank",29897,"High","2020/2/28","United States","United States / Washington",1,1,0,0,0
"MT163716","GenBank",29903,"High","2020/2/27","United States","United States / Washington",1,1,0,0,0
"MT152824","GenBank",29903,"High","2020/2/24","United States","United States / Washington / Snohomish County",1,1,0,0,0
"MT123291","GenBank",29927,"High","2020/1/29","China","China / Guangdong / Guangzhou",1,1,0,0,0
"MT123290","GenBank",29891,"High","2020/2/5","China","China / Guangdong / Guangzhou",1,1,0,0,0
"LC528233","GenBank",29902,"High","2020/2/10","Japan","Japan / Kanagawa",1,1,0,0,0
"LC528232","GenBank",29902,"High","2020/2/10","Japan","Japan / Kanagawa",1,1,0,0,0
"MT118835","GenBank",29882,"High","2020/2/23","United States","United States / California / Solano",1,1,0,0,0
"MT106052","GenBank",29882,"High","2020/2/6","United States","United States / California",1,1,0,0,0
"MT106053","GenBank",29882,"High","2020/2/10","United States","United States / California",1,1,0,0,0
"MT106054","GenBank",29882,"High","2020/2/11","United States","United States / Texas",1,1,0,0,0
"MT093631","GenBank",29911,"High","2020/1/8","China","China",1,1,0,0,0
"MT093571","GenBank",29886,"High","2020/2/7","Sweden","Sweden",1,1,0,0,0
"MT066176","GenBank",29870,"High","2020/2/5","Taiwan","China / Taiwan / Taipei",1,1,0,0,0
"MT072688","GenBank",29811,"High","2020/1/13","Nepal","Nepal / Kathmandu",1,1,0,0,0
"MT039890","GenBank",29903,"High","Jan-20","South Korea","South Korea",1,1,0,0,0
"MT039888","GenBank",29882,"High","2020/1/29","United States","United States / Massachusetts",1,1,0,0,0
"MT044258","GenBank",29858,"High","2020/1/27","United States","United States / California",1,1,0,0,0
"MT044257","GenBank",29882,"High","2020/1/28","United States","United States / Illinois",1,1,0,0,0
"LC522973","GenBank",29878,"High","2020/1/29","Japan","Japan / Tokyo",1,1,0,0,0
"LC522974","GenBank",29878,"High","2020/1/31","Japan","Japan / Tokyo",1,1,0,0,0
"LC522975","GenBank",29878,"High","2020/1/31","Japan","Japan / Tokyo",1,1,0,0,0
"EPI_ISL_408668","GISAID",29889,"High","2020/1/24","Vietnam","Vietnam / Thanh Hoa",0,1,0,0,0
"LC522972","GenBank",29878,"High","2020/1/29","Japan","Japan / Kyoto",1,1,0,0,0
"MT039887","GenBank",29879,"High","2020/1/31","United States","United States / Wisconsin",1,1,0,0,0
"MT066175","GenBank",29870,"High","2020/2/1","Taiwan","China / Taiwan / Taipei",1,1,0,0,0
"MT027062","GenBank",29882,"High","2020/1/29","United States","United States / California",1,1,0,0,0
"MT027063","GenBank",29882,"High","2020/1/29","United States","United States / California",1,1,0,0,0
"MT027064","GenBank",29882,"High","2020/1/29","United States","United States / California",1,1,0,0,0
"MT020881","GenBank",29882,"High","2020/1/25","United States","United States / Washington",1,1,0,0,0
"LC521925","GenBank",29848,"High","2020/1/25","Japan","Japan / Aichi",1,1,0,0,0
"MT020880","GenBank",29882,"High","2020/1/25","United States","United States / Washington",1,1,0,0,0
"MT039873","GenBank",29833,"High","2020/1/20","China","China / Zhejiang / Hangzhou",1,1,1,0,0
"EPI_ISL_406798","GISAID",29834,"High","2019/12/26","China","China / Hubei / Wuhan",1,1,0,1,1
"EPI_ISL_406800","GISAID",29851,"High","2020/1/1","China","China / Hubei / Wuhan",1,1,0,1,1
"EPI_ISL_406801","GISAID",29843,"High","2020/1/5","China","China / Hubei / Wuhan",1,1,0,1,1
"MT007544","GenBank",29893,"High","2020/1/25","Australia","Australia / Victoria / Clayton",1,1,0,0,0
"MN996527","GenBank",29825,"High","2019/12/30","China","China / Hubei / Wuhan",1,1,1,0,0
"MN996528","GenBank",29891,"High","2019/12/30","China","China / Hubei / Wuhan",1,1,1,0,0
"MN996529","GenBank",29852,"High","2019/12/30","China","China / Hubei / Wuhan",1,1,1,0,0
"MN996530","GenBank",29854,"High","2019/12/30","China","China / Hubei / Wuhan",1,1,1,0,0
"MN996531","GenBank",29857,"High","2019/12/30","China","China / Hubei / Wuhan",1,1,1,0,0
"MN994467","GenBank",29882,"High","2020/1/23","United States","United States / California / Los Angeles",1,1,0,0,0
"MN994468","GenBank",29883,"High","2020/1/22","United States","United States / California / Orange County",1,1,0,0,0
"MN997409","GenBank",29882,"High","2020/1/22","United States","United States / Arizona / Phoenix",1,1,0,0,0
"MN988668","GenBank",29881,"High","2020/1/2","China","China / Hubei / Wuhan",1,1,0,0,0
"MN988669","GenBank",29881,"High","2020/1/2","China","China / Hubei / Wuhan",1,1,0,0,0
"MN985325","GenBank",29882,"High","2020/1/19","United States","United States / Washington / Snohomish County",1,1,0,0,0
"MN988713","GenBank",29882,"High","2020/1/21","United States","United States / Illinois /Chicago",1,1,0,0,0
"MT019529","GenBank",29899,"High","2019/12/23","China","China / Hubei / Wuhan",1,1,1,0,0
"MT019530","GenBank",29889,"High","2019/12/30","China","China / Hubei / Wuhan",1,1,1,0,0
"MT019531","GenBank",29899,"High","2019/12/30","China","China / Hubei / Wuhan",1,1,1,0,0
"MT019532","GenBank",29890,"High","2019/12/30","China","China / Hubei / Wuhan",1,1,1,0,0
"MT019533","GenBank",29883,"High","2020/1/1","China","China / Hubei / Wuhan",1,1,1,0,0
"MN938384","GenBank",29838,"High","2020/1/10","China","China / Guangdong / Shenzhen",1,1,0,0,0
"MN975262","GenBank",29891,"High","2020/1/11","China","China / Guangdong / Shenzhen",1,1,0,0,0
"MN908947","GenBank",29903,"High","2019/12/30","China","China / Hubei / Wuhan",1,1,0,0,0
"EPI_ISL_418780","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418781","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418782","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418783","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418784","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418785","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418786","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418787","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418788","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418789","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418790","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418791","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418792","GISAID",29850,"High","2020/3/5","Belgium","Belgium / Houthalen-Helchteren",0,1,0,0,0
"EPI_ISL_418793","GISAID",29849,"High","2020/3/10","Belgium","Belgium / Zonhoven",0,1,0,0,0
"EPI_ISL_418794","GISAID",29843,"High","2020/3/6","Belgium","Belgium / Nevele",0,1,0,0,0
"EPI_ISL_418795","GISAID",29846,"High","2020/3/6","Belgium","Belgium / Ganshoren",0,1,0,0,0
"EPI_ISL_418796","GISAID",29841,"High","2020/3/5","Belgium","Belgium / Kalmthout",0,1,0,0,0
"EPI_ISL_418797","GISAID",29841,"High","2020/3/5","Belgium","Belgium / Kalmthout",0,1,0,0,0
"EPI_ISL_418798","GISAID",29854,"High","2020/3/5","Belgium","Belgium / Chaineux",0,1,0,0,0
"EPI_ISL_418800","GISAID",29840,"High","2020/3/10","Belgium","Belgium / Gierle",0,1,0,0,0
"EPI_ISL_418749","GISAID",29903,"High","2020/3/18","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418751","GISAID",29903,"High","2020/3/18","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418756","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418770","GISAID",29903,"High","2020/3/18","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418771","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418772","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418773","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418774","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418775","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418776","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418777","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418778","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418779","GISAID",29882,"High","2020/3/13","United States","United States / Washington",0,1,0,0,0
"EPI_ISL_418707","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418708","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418711","GISAID",29903,"High","2020/3/16","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418718","GISAID",29903,"High","2020/3/18","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418723","GISAID",29903,"High","2020/3/16","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418729","GISAID",29903,"High","2020/3/18","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418734","GISAID",29903,"High","2020/3/13","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418739","GISAID",29903,"High","2020/3/18","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418659","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418660","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418661","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418663","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418664","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418667","GISAID",29903,"High","2020/3/7","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418668","GISAID",29903,"High","2020/3/9","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418669","GISAID",29903,"High","2020/3/11","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418670","GISAID",29903,"High","2020/3/11","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418671","GISAID",29903,"High","2020/3/13","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418672","GISAID",29903,"High","2020/3/15","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418673","GISAID",29903,"High","2020/3/16","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418675","GISAID",29903,"High","2020/3/16","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418676","GISAID",29903,"High","2020/3/10","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418677","GISAID",29903,"High","2020/3/15","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418678","GISAID",29903,"High","2020/3/16","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418679","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418680","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418681","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418687","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418690","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418691","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418692","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418696","GISAID",29903,"High","2020/3/18","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418698","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418700","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418701","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418702","GISAID",29903,"High","2020/3/16","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418704","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418706","GISAID",29903,"High","2020/3/17","United Kingdom","United Kingdom / England",0,1,0,0,0
"EPI_ISL_418516","GISAID",29903,"High","2020/3/6","Ireland","Ireland / Tipperary",0,1,0,0,0
"EPI_ISL_418548","GISAID",29903,"High","2020/3/6","Ireland","Ireland / Dublin",0,1,0,0,0
"EPI_ISL_418580","GISAID",29903,"High","2020/3/8","Ireland","Ireland / Cork",0,1,0,0,0
"EPI_ISL_418581","GISAID",29903,"High","2020/3/8","Ireland","Ireland / Dublin",0,1,0,0,0
"EPI_ISL_418582","GISAID",29903,"High","2020/3/10","Ireland","Ireland / Louth",0,1,0,0,0
"EPI_ISL_418583","GISAID",29903,"High","2020/3/10","Ireland","Ireland / Dublin",0,1,0,0,0
"EPI_ISL_418584","GISAID",29903,"High","2020/3/10","Ireland","Ireland / Wicklow",0,1,0,0,0
"EPI_ISL_418624","GISAID",29782,"High","2020/3/15","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418625","GISAID",29782,"High","2020/3/14","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418626","GISAID",29782,"High","2020/3/16","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418627","GISAID",29782,"High","2020/3/14","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418628","GISAID",29782,"High","2020/3/16","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418629","GISAID",29782,"High","2020/3/17","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418630","GISAID",29782,"High","2020/3/17","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418631","GISAID",29782,"High","2020/3/14","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418632","GISAID",29782,"High","2020/3/16","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418634","GISAID",29782,"High","2020/3/19","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418635","GISAID",29782,"High","2020/3/19","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418639","GISAID",29782,"High","2020/3/19","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418640","GISAID",29782,"High","2020/3/19","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418645","GISAID",29782,"High","2020/3/21","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418646","GISAID",29782,"High","2020/3/21","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418648","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418650","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418651","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418653","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418654","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418655","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418656","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_418657","GISAID",29782,"High","2020/3/22","Belgium","Belgium / Li?ge",0,1,0,0,0
"EPI_ISL_417445","GISAID",29836,"High","2020/2/24","Italy","Italy / Lombardy / Milan",0,1,0,0,0
"EPI_ISL_417446","GISAID",29841,"High","2020/2/24","Italy","Italy / Lombardy / Milan",0,1,0,0,0
"EPI_ISL_418251","GISAID",29781,"High","2020/2/25","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_418256","GISAID",29898,"High","2020/3/14","Italy","Italy / Abruzzo",0,1,0,0,0
"EPI_ISL_418246","GISAID",29781,"High","2020/3/1","Spain","Spain / Castilla-La Mancha",0,1,0,0,0
"EPI_ISL_418252","GISAID",29794,"High","2020/3/4","Spain","Spain / Madrid",0,1,0,0,0
"EPI_ISL_418245","GISAID",29781,"High","2020/3/1","Spain","Spain / Castilla La Mancha",0,1,0,0,0
"EPI_ISL_418257","GISAID",29900,"High","2020/3/17","Italy","Italy / Abruzzo",0,1,0,0,0
"EPI_ISL_418247","GISAID",29794,"High","2020/2/26","Spain","Spain / Castilla y Leon",0,1,0,0,0
"EPI_ISL_418244","GISAID",29781,"High","2020/3/2","Spain","Spain / Andalusia",0,1,0,0,0
"EPI_ISL_418248","GISAID",29781,"High","2020/3/1","Spain","Spain / Castilla y Leon",0,1,0,0,0
"EPI_ISL_418249","GISAID",29781,"High","2020/3/3","Spain","Spain / Castilla y Leon",0,1,0,0,0
"EPI_ISL_418253","GISAID",29781,"High","2020/3/2","Spain","Spain / Basque Country",0,1,0,0,0
"EPI_ISL_418255","GISAID",29899,"High","2020/3/14","Italy","Italy / Abruzzo",0,1,0,0,0
"EPI_ISL_418250","GISAID",29781,"High","2020","Spain","Spain / Catalonia",0,1,0,0,0
"EPI_ISL_418258","GISAID",29901,"High","2020/3/14","Italy","Italy / Abruzzo",0,1,0,0,0
"EPI_ISL_418365","GISAID",29882,"High","2020/3/10","Canada","Canada / Ontario",0,1,0,0,0
"EPI_ISL_418326","GISAID",29882,"High","2020/3/12","Canada","Canada / Ontario",0,1,0,0,0
"EPI_ISL_418377","GISAID",29882,"High","2020/3/13","Canada","Canada / Ontario",0,1,0,0,0
"EPI_ISL_418335","GISAID",29882,"High","2020/3/14","Canada","Canada / Ontario",0,1,0,0,0
"EPI_ISL_418367","GISAID",29882,"High","2020/3/12","Canada","Canada / Ontario",0,1,0,0,0
"EPI_ISL_418354","GISAID",29882,"High","2020/3/15","Canada","Canada / Ontario",0,1,0,0,0
"EPI_ISL_418411","GISAID",29809,"High","2020/3/14","Finland","Finland / Helsinki",0,1,0,0,0
"EPI_ISL_418345","GISAID",29882,"High","2020/2/29","Canada","Canada / Ontario",0,1,0,0,0
