Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
OY292893,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-22
OY292903,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.43.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-05-31
OY292907,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FL.13,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-05-19
OY292910,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.9.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29894,complete,United Kingdom:England,,Homo sapiens,,2023-05-19
OY292914,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5.73,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-05-17
OY292931,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5.59,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-05-22
OY292935,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5.24,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29868,complete,United Kingdom:England,,Homo sapiens,,2023-06-02
OY292937,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-05-23
OY292939,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FL.9,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29875,complete,United Kingdom:England,,Homo sapiens,,2023-05-20
OY292942,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,EG.1.3,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29868,complete,United Kingdom:England,,Homo sapiens,,2023-05-17
OY292948,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5.37,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-05-17
OY292954,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-17
OY292955,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.9.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-05-28
OY292960,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-22
OY292963,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5.18,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-06-06
OY292964,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-05-17
OY292965,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FL.4,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-05-24
OY292968,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-06-01
OY292969,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.9.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-06-06
OY292970,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.9.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-05-19
OY292984,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FL.3,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-22
OY292985,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.2.3.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-06-21
OY292987,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-05-26
OY292989,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FL.10,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-06-20
OY292990,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5.52,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29882,complete,United Kingdom:England,,Homo sapiens,,2023-05-17
OY292991,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-06-19
OY292997,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,GE.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29844,complete,United Kingdom:England,,Homo sapiens,,2023-06-01
OY292998,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.11.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-06-23
OY293000,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.2.3,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-17
OY293002,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5.20,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-06-05
OY293003,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FL.4,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-06-11
OY293005,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-05-19
OY293006,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,EG.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-06-02
OY293007,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29866,complete,United Kingdom:England,,Homo sapiens,,2023-05-30
OY293016,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,EA.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29882,complete,United Kingdom:England,,Homo sapiens,,2023-06-02
OY293018,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-06-21
OY293025,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,EG.3,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-06-04
OY293027,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.9.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-06-01
OY293075,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29855,complete,United Kingdom:England,,Homo sapiens,,2023-05-19
OY293077,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,DV.7,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29876,complete,United Kingdom:England,,Homo sapiens,,2023-06-02
OY293102,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-06-05
OY293106,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FL.3,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-06-08
OY293117,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-05-28
OY293126,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,unclassifiable,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29882,complete,United Kingdom:England,,Homo sapiens,,2023-06-02
OY293131,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5.24,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29894,complete,United Kingdom:England,,Homo sapiens,,2023-06-08
OY293136,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,EG.5.1.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29882,complete,United Kingdom:England,,Homo sapiens,,2023-06-20
OY293159,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,DV.7,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29859,complete,United Kingdom:England,,Homo sapiens,,2023-05-26
OY293209,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.9.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29865,complete,United Kingdom:England,,Homo sapiens,,2023-06-06
OY293226,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-06-02
OY293227,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5.52,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29841,complete,United Kingdom:England,,Homo sapiens,,2023-05-19
OY293243,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FL.10,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-18
OY293246,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,unclassifiable,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29877,complete,United Kingdom:England,,Homo sapiens,,2023-05-26
OY293263,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.17.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-05-26
OY293271,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5.28,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-06-21
OY293324,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,EG.5.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-05-30
OY293352,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-06-02
OY293357,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FY.4.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-06-13
OY293378,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29882,complete,United Kingdom:England,,Homo sapiens,,2023-06-02
OY293394,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-24
